,title,artist,key_sig,bpm,genre,default_key,default_bpm,source_file
,25 or 6 to 4,Chicago,A,148,,A,148,25 or 6 to 4 - Chicago.mp3
,Baker Street,Gerry Rafferty,D,115,,D,115,Baker Street - Gerry Rafferty.mp3
,Black Magic Woman,Santana,Dm,120,,Dm,120,Black Magic Woman - Santana (Gypsy Queen medley).m4a
,Blue on Black,Kenny Wayne Shepherd,C,157,,C,157,Blue On Black - Kenny Wayne Shepherd.mp3
,Breakdown,Tom Petty,Am,112,,Am,112,Breakdown - Tom Petty and the Heartbreakers.m4a
,Call Me,Blondie,B,144,,B,144,Call Me - Blondie.mp3
,Carnival,Natalie Merchant,F#m,94,,F#m,94,Carnival - Natalie Merchant.mp3
,Celebrate,Kool & the Gang,Ab,123,,Ab,123,Celebration - Kool and The Gang.mp3
,Chain of Fools,Aretha Franklin,Cm,118,,Cm,118,Chain of Fools - Arethra Franklin.mp3
,Change The World,Eric Clapton,A,98,,A,98,Change the World - Eric Clapton.m4a
,Disco Inferno,Tina Turner,Ab,131,,Ab,131,Disco Inferno - Tina Turner (Live).mp3
,Do It Again,Steely Dan,Gm,123,,Gm,123,Do It Again - Steely Dan.mp3
,Evil Ways,Santana,Gm,117,,Gm,117,Evil Ways - Santana.mp3
61,Gimme! Gimme! Gimme!,ABBA,Dm,120,Pop,Dm,120,Gimme! Gimme! Gimme! (A Man After Midnight) - Abba.mp3
,Gold on the Ceiling,The Black Keys,G,131,,G,131,Gold On the Ceiling - The Black Keys.mp3
,Heart of Rock & Roll,Huey Lewis and the News,C,144,,C,144,The Heart of Rock and Roll - Huey Lewis and the News.mp3
,Heavy Chevy,Alabama Shakes,C,152,,C,152,Heavy Chevy - Alabama Shakes (2).mp3
,I Can't Go for That,Hall & Oates,F,110,,F,110,I Can't Go for That (No Can Do) - Daryl Hall and John Oates.mp3
,I Feel the Earth Move,Carole King,Cm,120,,Cm,120,I Feel the Earth Move - Carole King.mp3
,I Will Survive,Gloria Gaynor,Am,117,,Am,117,I Will Survive - Gloria Gaynor.mp3
,I'm Alright,Kenny Loggins,D,162,,D,,I'm Alright - Kenny Loggins.mp3
,Jacky,Jim Mann,Gm,126,,Gm,126,Jacky - Jim Mann (1-7-24).mp3
,Josie,Jim Mann,E,120,,E,120,Josie - Steely Dan.mp3
,Livin' On A Prayer,Bon Jovi,Em,123,,Em,123,Livin' On a Prayer - Bon Jovi.mp3
,Long Train Runnin,The Doobie Brothers,Gm,117,,Gm,117,Long Train Runnin' - The Doobie Brothers.mp3
,Love Shack,B-52's,C,133,,C,133,Love Shack - The B-52's.mp3
,Love Sneakin' Up on You,Bonnie Raitt,D,94,,D,94,Love Sneakin' Up On You - Bonnie Raitt.mp3
,Me and Bobby McGee,Janis Joplin,G,185,,G,185,Me and Bobby McGee - Janis Joplin.mp3
60,Mony Mony,Billy Idol,F,135,Rock,F,135,Mony Mony - Billy Idol.mp3
,Natural Woman,Carole King,Bb,112,,Bb,112,You Make Me Feel Like a Natural Woman - Carole King.mp3
,On the Dark Side,John Cafferty,E,162,,E,,On the Darkside - John Cafferty.mp3
,Peg,Steely Dan,G,117,,G,117,Peg - Steely Dan.mp3
,Pick Up the Pieces,Average White Band,Fm,108,,Fm,108,Pick Up the Pieces - Average White Band.mp3
,Play That Funky Music,Wild Cherry,Em,108,,Em,110,Play That Funky Music - Wild Cherry.mp3
,Reelin' in the Years,Steely Dan,A,136,,A,136,Reeling In the Years - Steely Dan.mp3
,Rhiannon,Fleetwood Mac,Am,129,,Am,129,Rhiannon - Fleetwood Mac (in Bm).wav
,Rocky Mountain Way,Joe Walsh,E,86,,E,86,Rocky Mountain Way - Joe Walsh.m4a
,Roll with the Changes,REO Speedwagon,C,126,,C,126,Roll With the Changes - REO Speedwagon.mp3
,Separate Ways,Journey,Em,133,,Em,133,Separate Ways - Journey.mp3
,Shaded Jade,Tamala Cameron & Gene Ngo,Bm,129,,Bm,129,Shaded Jade - Tamala Cameron and Gene Ngo.mp3
,Smooth,Santana feat. Rob Thomas,Am,115,,Am,115,Smooth - Santana feat. Rob Thomas.mp3
,Smooth Operator,Sade,Dm,120,,Dm,120,Smooth Operator - Sade.mp3
,Something To Talk About,Bonnie Raitt,Ab,103,,Ab,103,Bonnie Rait - Something To Talk About.mp3
,Stop Draggin' My Heart Around,Stevie Nicks,Em,108,,Em,108,Stop Draggin' My Heart Around - Stevie Nicks.mp3
,Sweet Home Alabama,Lynyrd Skynyrd,G,98,,G,98,Sweet Home Alabama - Lynyrd Skynyrd.mp3
,Talk Me Into It,Kevin Redmond,G,112,,G,112,Talk Me Into It - Kevin Redmond.mp3
,Tequila,The Champs,F,178,,F,178,Tequila - The Champs.mp3
,The Letter,Joe Cocker,Bbm,91,,Bbm,91,The Letter - Joe Cocker (Live).mp3
,The Logical Song,Supertramp,C,117,,C,117,The Logical Song - Supertramp.mp3
